Age,Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1,3,1051710,1055317,1056773,1054745,1051767,1046455,1040724,1034209,1027443,1018743,1011933,1006600,1001417,996503,992859,992075,993931,996015,999021,1002975,1007735,1012934
2,3,119154,121956,125588,130265,133989,136895,139502,140643,141748,143991,144179,141135,139925,140118,139373,136088,131577,129757,129724,129063,128498,128291
3,3,133335,131126,130921,133923,137945,142676,146852,150200,153206,154224,155691,158468,158748,155409,154066,154184,153601,149942,145201,143059,143073,142372
4,3,369734,366596,360852,354188,350434,349463,351467,358455,367405,378021,386424,394444,400085,406713,408677,409262,408825,407790,403762,398991,393055,387793
5,3,730965,730731,731069,731288,726367,722564,714601,702385,689900,679863,673657,671126,671120,672478,678259,684326,693206,704584,718924,730521,739025,746191
6,3,651126,658319,666849,677668,690343,696056,700980,708570,715762,721366,724713,723995,723841,723699,718909,715177,707521,695815,683844,674384,668321,665760
7,3,737975,724226,709670,692044,675946,665500,659434,651526,646873,646132,649889,656965,665388,676002,688288,693996,698760,706065,712846,717974,721265,720610
8,3,794486,809420,823147,838331,850234,860110,866485,874496,877270,874150,865214,853452,839234,822505,807415,797219,790723,784621,779407,772548,769406,771598
9,3,916861,930426,944103,956206,970598,986074,1003298,1020194,1038171,1057659,1078346,1099705,1121520,1142667,1162588,1182097,1200431,1217801,1233333,1250074,1263005,1271906
1,4,902400,909107,915139,917726,918858,917480,916568,914254,910219,904764,900991,898290,895426,892299,891107,891906,894582,897277,900746,905071,910006,915288
2,4,102355,105796,108347,111830,116225,120020,121967,122849,125983,129116,128958,126442,125852,126757,125704,122535,119526,118521,118787,118327,118026,118127
3,4,117746,114976,114683,118230,121081,124967,129601,133698,135965,136909,140091,143404,143518,140652,139784,140543,139511,136158,132791,131250,131440,130889
4,4,315723,313891,310198,304647,301506,300448,301983,307858,316381,326191,333331,340764,347196,353871,356147,357313,357523,357019,353312,349352,344495,340268
5,4,611901,615602,618461,621415,620531,619389,614133,605588,596709,590125,585099,582810,583115,584867,590055,594913,602782,613312,626648,637402,645416,652610
6,4,571917,579386,588631,599167,611272,619130,625344,633905,641882,647450,653253,655331,657018,659031,657260,655383,649802,641021,631988,625296,620167,617805
7,4,668829,657238,644787,630596,617979,609130,606876,601348,598123,599051,603173,610629,619826,630112,642012,649423,655199,663180,670541,675556,680887,682474
8,4,714394,731220,747158,764060,778475,792093,800289,810060,815571,815388,810075,801604,790450,776498,763974,756070,752372,747841,745570,741706,740343,743578
9,4,839374,854996,870325,883937,898697,914335,931651,949557,968358,989047,1010851,1033485,1056633,1080110,1102295,1123551,1143338,1162978,1179163,1197317,1212285,1223905
1,5,1169752,1176832,1181896,1184587,1185737,1184275,1183162,1181899,1178478,1173112,1169005,1166583,1165409,1163717,1163405,1165676,1170932,1176335,1182475,1189507,1197296,1205401
2,5,131938,135830,140384,144385,148045,152265,154749,154820,157546,161963,163043,160626,158395,158499,158592,155734,151387,149575,150131,150012,149909,150215
3,5,140721,137856,137637,141641,146039,149968,153939,158184,160834,160893,163873,168122,169213,166519,164232,164444,164393,161245,156805,154870,155333,155069
4,5,390175,387835,383150,376614,373014,371998,373857,379997,389222,400227,408529,416057,422949,430450,433752,435921,436386,435756,431868,427396,421864,417296
5,5,801464,807693,812906,817619,818352,816703,811210,801263,791258,784678,779738,777936,778656,780796,787590,794334,803692,816581,833090,846927,857096,865281
6,5,711548,721517,733391,747356,761906,772670,781017,792701,803079,809563,817294,820867,823819,826750,826048,823644,817743,807719,797637,790944,785861,783946
7,5,791578,779169,765360,750151,736191,727224,723983,718687,715657,718138,723327,732707,744007,757123,770983,780882,788459,799109,808537,814359,821333,824258
8,5,823232,840311,857324,874905,890952,905393,916311,927291,934622,934172,927360,918203,906250,891726,878048,870056,866595,862274,859014,855854,854549,859183
9,5,984711,998866,1012751,1024941,1037760,1051935,1067528,1083788,1100408,1120212,1142412,1164485,1187471,1210588,1233168,1254632,1275108,1295259,1313510,1332496,1348559,1360443
1,6,1211165,1218431,1224116,1225944,1225237,1220553,1215457,1208729,1200401,1190241,1181513,1174062,1166929,1159092,1153767,1150331,1150656,1151333,1153182,1156395,1160696,1165919
2,6,134574,138849,142796,146870,152065,157641,161218,162739,165657,168810,169002,166329,164970,165741,164545,160980,156319,153410,153283,152290,151425,150892
3,6,125074,122558,122550,126471,129633,133517,137971,143101,145788,147144,149784,152690,152741,150297,149090,149875,148522,145430,141095,138839,138671,137773
4,6,337123,332123,325753,318142,312807,310234,311429,316530,324972,335037,343055,351343,358038,364523,367250,369236,369686,369226,365421,361883,356979,352274
5,6,770791,769007,766579,763981,757508,751510,743186,732902,723204,716120,709782,706608,705857,706961,712186,717878,727546,740044,755938,769041,778911,787570
6,6,788743,796540,807130,818614,831437,837160,838816,840937,840979,840551,841503,838175,834540,831111,823925,817494,808983,798399,788287,781048,774693,771584
7,6,864176,853586,840654,827774,816863,811527,811837,810233,810831,813221,818401,826524,836917,847757,859938,865170,866749,868793,868833,868106,868699,865127
8,6,901327,921686,941545,961505,978207,992907,1002653,1013390,1020784,1021668,1017699,1010997,1000793,989092,977901,972868,972007,971270,972776,971437,972060,977371
9,6,1107425,1124469,1141841,1157453,1174640,1193201,1213452,1234140,1255318,1279558,1305185,1331902,1359703,1387510,1414885,1440753,1464722,1487889,1507966,1529357,1548098,1563714
1,7,1844965,1852360,1854379,1850252,1841270,1827981,1814987,1800404,1783568,1761372,1742928,1728286,1714138,1699836,1688460,1681059,1678652,1677392,1678206,1681139,1686060,1692448
2,7,188941,194659,200325,208278,215996,222370,224269,224662,228497,236226,238109,231294,227958,228705,227287,221972,214716,210467,209354,207460,205711,204441
3,7,181004,178734,180276,185010,190152,196950,203765,209424,211000,211681,215359,222578,223440,217402,214733,215417,213957,208992,202424,198902,197940,196279
4,7,565684,564345,560279,553457,549843,547864,549344,556986,571329,586760,599578,612279,622418,633779,638713,642285,643480,642192,634232,627310,619561,611370
5,7,1617861,1599266,1583102,1570666,1554500,1541209,1526252,1509768,1493226,1482266,1474586,1471369,1473175,1479122,1492058,1505637,1524312,1548047,1579115,1603609,1621758,1636853
6,7,1445710,1462824,1476347,1483239,1488408,1481947,1470821,1458767,1445386,1430342,1417737,1401540,1387453,1376589,1362586,1351377,1338519,1323797,1309027,1299440,1293298,1291167
7,7,1165097,1169771,1173765,1178966,1185911,1199090,1215077,1230168,1243569,1256648,1267953,1280582,1291072,1296963,1301840,1297607,1289843,1281541,1271980,1260853,1251633,1238973
8,7,1019060,1050499,1081112,1109191,1133941,1155940,1174490,1191794,1205642,1216394,1224125,1229573,1233442,1237732,1242742,1253075,1266099,1279771,1292092,1302246,1310655,1321643
9,7,949235,966945,985888,1006134,1028330,1051183,1075985,1102309,1130823,1160374,1191169,1223926,1258017,1291674,1325397,1358061,1389674,1419766,1448602,1477512,1505018,1530703
1,8,1766485,1773619,1778595,1776570,1770528,1760211,1749706,1735721,1719419,1701556,1687519,1675655,1663800,1652286,1644298,1639618,1639406,1639793,1642042,1646271,1652075,1659095
2,8,202081,208692,213648,220593,229943,237029,240467,243440,248869,252434,250007,244011,242035,242220,239099,233192,226724,223244,222604,220882,219588,218895
3,8,203429,199276,199152,205559,209972,216952,225532,232197,235473,238308,243198,246804,244802,239262,237397,237489,234613,228962,222646,219463,218859,217257
4,8,533790,527198,519188,508169,501313,498590,500682,509799,524287,540158,552503,565897,576448,586090,588992,590314,589418,586787,579249,572212,563807,555869
5,8,1099352,1098025,1096189,1095478,1089408,1082610,1070299,1055068,1039728,1029310,1021261,1017027,1017417,1020366,1028833,1037743,1052329,1070839,1094091,1112342,1125878,1137797
6,8,1163561,1169443,1178400,1186255,1195580,1197258,1196353,1196805,1196565,1194373,1194488,1189976,1185651,1182809,1174834,1166877,1154387,1138782,1123166,1112424,1104059,1099778
7,8,1290275,1273375,1254813,1235884,1221438,1214282,1214095,1209787,1207557,1207648,1210489,1217118,1226493,1234643,1244247,1245787,1244678,1244986,1244358,1241637,1241144,1236028
8,8,1324523,1357283,1387417,1417559,1441890,1462611,1476319,1491522,1501198,1503406,1497807,1486908,1470605,1452750,1437887,1429908,1428420,1426991,1426814,1422428,1419665,1422059
9,8,1603229,1629088,1654886,1679957,1706737,1735738,1767518,1800588,1834561,1871706,1911118,1953018,1996163,2039511,2080133,2119554,2155208,2189339,2219513,2252102,2280517,2305152
1,9,994982,1002383,1007258,1009053,1008482,1005563,1002905,998568,992511,984957,979734,975632,972377,968839,968104,969205,971849,974773,978565,983300,988681,994447
2,9,116109,119503,121842,125675,130700,135425,137518,138907,142384,145706,145070,141854,140202,140095,138176,134286,131733,130884,130932,130376,130104,130384
3,9,128570,125446,125870,129226,131977,135948,141246,146104,148439,149776,153387,156873,156358,152891,151055,151067,149201,145236,142386,141123,141167,140537
4,9,335718,334025,329697,323606,321024,320102,321700,327649,337132,347452,355464,363949,371388,378491,380669,381891,381173,379611,374204,369241,363996,359548
5,9,671226,675166,677952,679028,675982,672447,666553,657822,649068,643412,638213,636082,636469,638835,645031,651034,660236,672496,687867,699866,709043,716845
6,9,642889,650525,659185,670553,683406,691624,697514,704398,710389,714296,719178,720672,722408,722890,719300,715391,708961,699668,690373,684200,678794,676494
7,9,765426,752821,737770,721212,708393,699876,695883,690870,687546,687962,691655,698557,707280,718339,730926,738587,744003,750453,756056,759486,763927,764950
8,9,870620,890594,910423,931558,948223,962402,972576,982694,989078,989155,982922,972951,958433,942689,927750,917711,913451,908967,905575,901029,898730,901146
9,9,1121037,1141238,1161103,1179438,1198744,1220519,1243952,1268138,1292904,1319925,1349055,1379038,1410535,1441072,1470571,1499196,1524127,1548560,1570356,1592911,1612285,1627731
1,10,564119,565413,565210,563286,560607,556166,552086,547281,541578,536316,532079,528414,524873,521332,518872,517187,517202,516666,516384,516434,516741,517172
2,10,66147,67190,69022,71539,73514,75566,76548,76664,78117,78393,76776,75090,74353,74227,73189,71412,69059,68098,68638,68334,68028,67872
3,10,71725,69672,68620,69532,71303,73734,75649,77720,78722,78871,80320,80620,79022,77321,76556,76413,75368,73586,71207,70217,70725,70432
4,10,203736,202754,200210,195413,190890,187125,186378,188083,191828,196949,200934,204507,207527,209486,208800,207949,206291,203882,201005,198434,194777,191896
5,10,400567,402050,403547,405207,405254,403556,399262,392400,384945,378359,372194,369676,368228,366733,366949,367001,369621,373925,379058,382982,385787,387563
6,10,354330,358579,364000,369774,376912,382255,385995,391120,396780,401281,406225,406919,407815,409045,408681,406952,402748,395974,388578,382041,375902,373340
7,10,419123,409235,399354,389067,379753,372465,369088,364620,360850,360070,361294,365274,370515,376237,383334,388817,392673,397884,403654,408276,413330,414147
8,10,483941,492140,498982,507063,513284,518439,520741,523791,524328,520903,513839,505371,494418,483122,472993,465367,460865,456241,452039,447045,443732,444509
9,10,588103,597182,606025,613430,621356,630431,640170,650174,660290,671454,683586,695548,708375,720835,731683,742205,751379,760627,767800,775911,781852,785074
1,11,919512,918260,915308,911520,906272,898497,890226,883267,873067,864347,856813,850099,843524,837582,833512,830670,829536,827906,826515,825493,824750,824145
2,11,107552,109775,112847,114757,116725,120581,123512,122504,124149,125569,122543,120199,118942,117909,115197,111941,108928,107756,108173,107833,107508,107392
3,11,116120,112251,110447,112625,115715,117663,119664,123547,126520,125566,127213,128627,125642,123265,121977,120923,118202,114918,111862,110661,111049,110718
4,11,347086,341208,333740,323771,315758,310082,309657,311648,317326,325195,331755,335508,341673,344822,343922,341502,340198,335009,329441,323930,317667,312208
5,11,749629,751488,752230,752328,748209,743530,734168,719891,703058,690702,681526,675309,669933,665716,665639,666528,669800,677889,686605,693517,697607,700051
6,11,670387,678638,687999,701477,716427,726591,735230,745730,755754,762373,768238,770100,770905,771047,766985,762322,752988,738730,721882,709451,700235,693991
7,11,761892,742874,726497,706429,688337,676608,670389,664538,662397,663746,668479,676668,686048,699471,714382,724631,733338,743884,753993,760710,766634,768605
8,11,861096,877174,889402,901712,910805,916688,917824,918448,915732,906755,892270,875202,857768,836488,819195,806287,796496,789512,786268,781490,778871,782533
9,11,919170,933011,947190,961271,977330,994626,1013061,1032512,1051885,1072863,1094829,1117798,1140245,1162854,1182092,1201165,1218970,1234838,1247254,1260096,1269737,1275032
1,12,395557,396845,397456,397071,395135,391765,388056,384417,380259,375684,371779,368093,364387,360389,357159,354638,352706,351180,350057,349384,349114,349181
2,12,44818,45394,46282,47304,49204,51737,53095,52931,53049,53662,53134,52034,51688,51922,51424,50005,48847,48064,47544,47041,46561,46174
3,12,45400,44526,44473,45025,45883,46881,48750,51254,52574,52372,52490,53113,52571,51472,51151,51395,50897,49475,48340,47577,47072,46577
4,12,114859,113473,111442,109286,107475,106573,106413,107653,110203,113922,117171,119880,122354,123888,123495,122828,122374,121832,120322,118964,117419,115640
5,12,248238,247239,245553,243608,241206,238810,235541,231428,227425,224402,221897,219959,218866,219031,220797,223004,225526,229205,233261,236582,239188,241488
6,12,240516,242813,245827,248884,251586,252761,253089,253356,253934,253464,252643,251183,249125,246927,244402,241857,238578,234436,230403,227343,224821,222870
7,12,257606,253996,250440,246858,243311,241377,240708,240215,239678,239523,240615,242727,245595,248562,251236,252382,252752,253065,253677,253260,252467,251054
8,12,267877,274719,280784,286510,291465,295160,297736,299986,301149,301084,299730,297241,293761,289847,286575,284504,283306,282678,281811,281062,281088,281774
9,12,277395,282851,288366,293935,300158,306927,314248,321598,329287,337648,346087,354760,363754,372856,381233,389281,397177,404370,411027,417394,423055,428202
